"https://finance.naver.com/item/sise_day.nhn?code=215600&page=20","2019.11.11
					17950
					
				
				400
				
			
					17750
					18550
					17450
					4731428","2019.11.08
					17550
					
				
				50
				
			
					17250
					18450
					16850
					7750166","2019.11.07
					17600
					
				
				850
				
			
					18450
					18950
					17450
					5157194","2019.11.06
					18450
					
				
				900
				
			
					19100
					19200
					18400
					4028944","2019.11.05
					19350
					
				
				1000
				
			
					18550
					20200
					17900
					11700915","2019.11.04
					18350
					
				
				300
				
			
					18250
					18600
					17050
					8608250","2019.11.01
					18050
					
				
				1200
				
			
					18100
					18950
					18000
					6780176","2019.10.31
					19250
					
				
				350
				
			
					20000
					20350
					19100
					6659214","2019.10.30
					19600
					
				
				550
				
			
					20400
					21150
					19500
					9492220","2019.10.29
					20150
					
				
				450
				
			
					19750
					21650
					18750
					20492787"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=21","2019.10.28
					19700
					
				
				900
				
			
					19150
					20500
					18800
					16300778","2019.10.25
					18800
					
				
				1900
				
			
					19800
					20400
					18450
					15407189","2019.10.24
					20700
					
				
				1400
				
			
					21800
					22350
					18500
					50541267","2019.10.23
					19300
					
				
				4450
				
			
					15250
					19300
					15150
					55970627","2019.10.22
					14850
					
				
				550
				
			
					14900
					16750
					14150
					38460628","2019.10.21
					14300
					
				
				1550
				
			
					12750
					14700
					12600
					20210169","2019.10.18
					12750
					
				
				400
				
			
					13300
					13400
					12100
					6215509","2019.10.17
					13150
					
				
				450
				
			
					13500
					14050
					13050
					4784074","2019.10.16
					13600
					
				
				200
				
			
					14300
					14400
					13300
					4977032","2019.10.15
					13800
					
				
				100
				
			
					13500
					14500
					13200
					9036768"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=22","2019.10.14
					13700
					
				
				250
				
			
					14350
					15100
					13400
					11318078","2019.10.11
					13450
					
				
				1650
				
			
					14750
					16550
					13150
					22243388","2019.10.10
					15100
					
				
				1250
				
			
					15500
					16200
					14100
					25759204","2019.10.08
					16350
					
				
				2150
				
			
					14850
					17950
					14750
					60037508","2019.10.07
					14200
					
				
				3250
				
			
					11350
					14200
					11250
					39547526","2019.10.04
					10950
					
				
				1430
				
			
					9390
					11850
					9330
					31799162","2019.10.02
					9520
					
				
				1030
				
			
					11350
					11600
					9500
					22184062","2019.10.01
					10550
					
				
				2410
				
			
					8140
					10550
					8140
					16582556","2019.09.30
					8140
					
				
				760
				
			
					9020
					9120
					7820
					5722270","2019.09.27
					8900
					
				
				350
				
			
					9250
					9300
					8710
					3233749"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=23","2019.09.26
					9250
					
				0
			
					9450
					9600
					9120
					2229881","2019.09.25
					9250
					
				
				800
				
			
					9950
					10050
					9090
					3677009","2019.09.24
					10050
					
				
				140
				
			
					9730
					10350
					9730
					3085993","2019.09.23
					9910
					
				
				390
				
			
					10200
					10200
					9680
					3920517","2019.09.20
					10300
					
				
				650
				
			
					10800
					10950
					10150
					4754470","2019.09.19
					10950
					
				
				600
				
			
					11000
					11250
					10600
					3652290","2019.09.18
					11550
					
				
				200
				
			
					11850
					11900
					11550
					1453369","2019.09.17
					11750
					
				
				50
				
			
					11600
					12100
					11500
					2898166","2019.09.16
					11700
					
				
				200
				
			
					11600
					11800
					11300
					1749718","2019.09.11
					11500
					
				
				200
				
			
					11750
					11800
					11350
					1984324"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=24","2019.09.10
					11700
					
				
				350
				
			
					11350
					11950
					11300
					2753823","2019.09.09
					11350
					
				
				450
				
			
					11700
					11750
					11250
					2333340","2019.09.06
					11800
					
				
				450
				
			
					12350
					12400
					11700
					2398999","2019.09.05
					12250
					
				
				150
				
			
					12650
					12700
					12000
					3468035","2019.09.04
					12400
					
				
				650
				
			
					12000
					12400
					11750
					5070808","2019.09.03
					11750
					
				
				300
				
			
					12200
					13300
					11450
					12287296","2019.09.02
					12050
					
				
				1550
				
			
					10650
					12600
					10500
					17028457","2019.08.30
					10500
					
				
				300
				
			
					10500
					10800
					10250
					5269126","2019.08.29
					10200
					
				
				150
				
			
					10400
					10950
					10100
					11217844","2019.08.28
					10350
					
				
				2500
				
			
					12850
					13150
					9000
					42750442"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=25","2019.08.27
					12850
					
				
				850
				
			
					13800
					14100
					12650
					5958254","2019.08.26
					13700
					
				
				1300
				
			
					14750
					14900
					13700
					6127881","2019.08.23
					15000
					
				
				400
				
			
					14350
					15550
					14350
					9862603","2019.08.22
					14600
					
				
				800
				
			
					14050
					15150
					14000
					10528454","2019.08.21
					13800
					
				
				150
				
			
					13650
					14150
					13500
					3746065","2019.08.20
					13650
					
				
				150
				
			
					13450
					13850
					13350
					2696297","2019.08.19
					13500
					
				
				100
				
			
					13900
					14050
					13400
					2454388","2019.08.16
					13600
					
				0
			
					13150
					14200
					12750
					6895919","2019.08.14
					13600
					
				
				850
				
			
					14650
					14800
					13400
					6457273","2019.08.13
					14450
					
				
				450
				
			
					14700
					15200
					14350
					5494896"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=26","2019.08.12
					14900
					
				
				950
				
			
					13700
					15250
					13350
					14536209","2019.08.09
					13950
					
				
				700
				
			
					14900
					15000
					13750
					8772205","2019.08.08
					14650
					
				
				450
				
			
					14700
					15350
					14150
					17472876","2019.08.07
					14200
					
				
				1100
				
			
					15850
					16300
					12600
					43331944","2019.08.06
					15300
					
				
				6550
				
			
					15300
					17850
					15300
					45303581","2019.08.05
					21850
					
				
				9350
				
			
					21850
					21850
					21850
					235177","2019.08.02
					31200
					
				
				13350
				
			
					31200
					31200
					31200
					217818","2019.08.01
					44550
					
				
				300
				
			
					44600
					45450
					43800
					664665","2019.07.31
					44250
					
				
				250
				
			
					44100
					45250
					42100
					1208576","2019.07.30
					44000
					
				
				1700
				
			
					45750
					46800
					41300
					1011979"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=27","2019.07.29
					45700
					
				
				1300
				
			
					46500
					47500
					45700
					506952","2019.07.26
					47000
					
				
				1250
				
			
					48150
					48600
					46100
					776439","2019.07.25
					48250
					
				
				200
				
			
					48200
					49100
					48100
					387837","2019.07.24
					48450
					
				
				350
				
			
					49000
					50400
					48000
					605484","2019.07.23
					48800
					
				
				750
				
			
					49700
					50400
					48300
					766791","2019.07.22
					49550
					
				
				550
				
			
					49350
					51500
					49150
					974148","2019.07.19
					49000
					
				
				2600
				
			
					46700
					49150
					46600
					1392720","2019.07.18
					46400
					
				
				50
				
			
					46950
					47200
					45700
					585475","2019.07.17
					46450
					
				
				950
				
			
					45350
					47500
					44800
					1102298","2019.07.16
					45500
					
				
				1700
				
			
					43800
					47550
					43800
					1608122"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=28","2019.07.15
					43800
					
				
				1350
				
			
					44150
					44600
					43550
					618465","2019.07.12
					45150
					
				
				350
				
			
					44800
					45800
					44350
					608214","2019.07.11
					44800
					
				0
			
					45600
					45600
					43800
					841944","2019.07.10
					44800
					
				
				2800
				
			
					41800
					47800
					40050
					5591892","2019.07.09
					42000
					
				
				5300
				
			
					46000
					46750
					42000
					2844106","2019.07.08
					47300
					
				
				2200
				
			
					49250
					49400
					47300
					588438","2019.07.05
					49500
					
				
				2900
				
			
					46600
					49700
					46600
					878557","2019.07.04
					46600
					
				
				2300
				
			
					47950
					48300
					46200
					1182895","2019.07.03
					48900
					
				
				100
				
			
					48650
					49650
					48550
					459788","2019.07.02
					49000
					
				
				1900
				
			
					50800
					51200
					48450
					991961"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=29","2019.07.01
					50900
					
				
				1500
				
			
					49100
					52000
					49100
					1127656","2019.06.28
					49400
					
				
				2900
				
			
					51400
					52000
					49300
					2035396","2019.06.27
					52300
					
				
				4700
				
			
					57000
					57300
					48700
					1890261","2019.06.26
					57000
					
				
				300
				
			
					57100
					58100
					56800
					354276","2019.06.25
					57300
					
				
				700
				
			
					56600
					58200
					56100
					423201","2019.06.24
					56600
					
				
				200
				
			
					56900
					57000
					56100
					216091","2019.06.21
					56800
					
				
				900
				
			
					58000
					58300
					56500
					336601","2019.06.20
					57700
					
				
				1700
				
			
					56100
					57900
					56100
					487092","2019.06.19
					56000
					
				
				600
				
			
					55900
					56400
					55200
					331231","2019.06.18
					55400
					
				
				1300
				
			
					57000
					57400
					55000
					495082"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=30","2019.06.17
					56700
					
				
				100
				
			
					57500
					58500
					56600
					421203","2019.06.14
					56800
					
				
				900
				
			
					56100
					59400
					55800
					985343","2019.06.13
					55900
					
				
				200
				
			
					56000
					56500
					55500
					670254","2019.06.12
					56100
					
				
				200
				
			
					56000
					56200
					55000
					391494","2019.06.11
					55900
					
				
				1700
				
			
					54100
					56100
					54000
					500799","2019.06.10
					54200
					
				
				300
				
			
					54800
					54900
					53900
					374375","2019.06.07
					54500
					
				
				300
				
			
					54900
					55200
					53900
					295567","2019.06.05
					54800
					
				
				700
				
			
					57000
					57100
					54200
					405303","2019.06.04
					55500
					
				
				100
				
			
					55400
					56300
					55000
					298104","2019.06.03
					55600
					
				
				600
				
			
					54800
					56300
					54000
					405661"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=31","2019.05.31
					55000
					
				
				1900
				
			
					52700
					55400
					52600
					554425","2019.05.30
					53100
					
				
				1500
				
			
					54800
					55200
					52400
					686069","2019.05.29
					54600
					
				
				2500
				
			
					56500
					56800
					54100
					619613","2019.05.28
					57100
					
				
				2100
				
			
					54900
					57200
					54900
					499593","2019.05.27
					55000
					
				
				1000
				
			
					56300
					56600
					54500
					302544","2019.05.24
					56000
					
				
				300
				
			
					55100
					56500
					54400
					375840","2019.05.23
					55700
					
				
				1300
				
			
					57700
					57900
					55600
					372195","2019.05.22
					57000
					
				
				1700
				
			
					55800
					57400
					55800
					492901","2019.05.21
					55300
					
				
				1300
				
			
					54200
					55900
					53700
					560568","2019.05.20
					54000
					
				
				2000
				
			
					56000
					57000
					53700
					499445"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=32","2019.05.17
					56000
					
				
				100
				
			
					56700
					57500
					55900
					390539","2019.05.16
					55900
					
				
				100
				
			
					56000
					57800
					55400
					558762","2019.05.15
					56000
					
				
				1200
				
			
					55300
					56600
					54900
					541148","2019.05.14
					54800
					
				
				1100
				
			
					54300
					56200
					53600
					995092","2019.05.13
					55900
					
				
				1500
				
			
					56400
					57700
					55900
					534330","2019.05.10
					57400
					
				
				400
				
			
					57500
					59000
					56300
					881053","2019.05.09
					57800
					
				
				3200
				
			
					60900
					61500
					57700
					1237743","2019.05.08
					61000
					
				
				1700
				
			
					62000
					65200
					60300
					1625296","2019.05.07
					62700
					
				
				1100
				
			
					63000
					63500
					62700
					414906","2019.05.03
					63800
					
				0
			
					63800
					65100
					63300
					421160"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=33","2019.05.02
					63800
					
				
				1600
				
			
					65100
					65600
					63800
					492252","2019.04.30
					65400
					
				
				1200
				
			
					64200
					65900
					63700
					624271","2019.04.29
					64200
					
				
				800
				
			
					63100
					64300
					63100
					295299","2019.04.26
					63400
					
				
				400
				
			
					63000
					64200
					63000
					353959","2019.04.25
					63800
					
				
				1100
				
			
					64800
					64900
					63300
					369525","2019.04.24
					64900
					
				
				300
				
			
					65600
					66300
					64300
					396478","2019.04.23
					65200
					
				
				300
				
			
					65500
					65800
					64500
					405004","2019.04.22
					64900
					
				
				1800
				
			
					63900
					66500
					63600
					1030853","2019.04.19
					63100
					
				
				200
				
			
					62500
					63900
					62500
					471030","2019.04.18
					62900
					
				
				1900
				
			
					64600
					64700
					62500
					630625"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=34","2019.04.17
					64800
					
				0
			
					64800
					65000
					64300
					317578","2019.04.16
					64800
					
				0
			
					65000
					65100
					64000
					445203","2019.04.15
					64800
					
				
				600
				
			
					65400
					65400
					64600
					428310","2019.04.12
					65400
					
				
				600
				
			
					65600
					65900
					65200
					269826","2019.04.11
					66000
					
				
				400
				
			
					65700
					66400
					65100
					427254","2019.04.10
					65600
					
				0
			
					65300
					65800
					64600
					391809","2019.04.09
					65600
					
				
				1300
				
			
					64100
					65600
					64000
					629025","2019.04.08
					64300
					
				
				500
				
			
					65000
					65200
					64000
					426970","2019.04.05
					64800
					
				
				1000
				
			
					65800
					65800
					64500
					467645","2019.04.04
					65800
					
				
				100
				
			
					66200
					66600
					65000
					458042"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=35","2019.04.03
					65900
					
				
				1500
				
			
					64800
					65900
					63600
					743741","2019.04.02
					64400
					
				
				300
				
			
					65200
					65600
					64100
					487967","2019.04.01
					64700
					
				
				400
				
			
					63200
					64900
					63000
					617620","2019.03.29
					64300
					
				
				1400
				
			
					62900
					64600
					61700
					981823","2019.03.28
					62900
					
				
				1600
				
			
					63600
					64800
					62200
					1102781","2019.03.27
					64500
					
				
				2800
				
			
					67300
					67800
					63500
					1334611","2019.03.26
					67300
					
				
				500
				
			
					68400
					68400
					67000
					571438","2019.03.25
					67800
					
				
				1400
				
			
					68300
					68900
					67000
					803413","2019.03.22
					69200
					
				
				1800
				
			
					67900
					70400
					67700
					1820397","2019.03.21
					67400
					
				
				400
				
			
					67300
					68600
					67200
					901242"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=36","2019.03.20
					67800
					
				
				1200
				
			
					68900
					69500
					66900
					1796494","2019.03.19
					66600
					
				
				100
				
			
					66800
					68100
					66300
					1204663","2019.03.18
					66500
					
				
				600
				
			
					67500
					68200
					66200
					1429222","2019.03.15
					65900
					
				
				2400
				
			
					68300
					68300
					64100
					4106283","2019.03.14
					68300
					
				0
			
					68300
					70700
					68300
					2058016","2019.03.13
					68300
					
				
				5500
				
			
					74000
					74100
					66800
					5813047","2019.03.12
					73800
					
				
				1300
				
			
					76300
					79000
					68700
					6136865","2019.03.11
					75100
					
				
				400
				
			
					74400
					75600
					72700
					759117","2019.03.08
					74700
					
				
				200
				
			
					74400
					75800
					74200
					591359","2019.03.07
					74900
					
				
				2000
				
			
					76200
					77400
					74400
					894843"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=37","2019.03.06
					76900
					
				
				1600
				
			
					78800
					78900
					76200
					1198166","2019.03.05
					78500
					
				
				400
				
			
					77900
					80100
					77400
					1879761","2019.03.04
					78100
					
				
				3800
				
			
					75900
					78300
					74700
					2202388","2019.02.28
					74300
					
				
				800
				
			
					74200
					76000
					71300
					2467512","2019.02.27
					73500
					
				
				700
				
			
					72700
					73800
					72300
					555903","2019.02.26
					72800
					
				
				500
				
			
					73600
					74400
					72800
					659441","2019.02.25
					73300
					
				
				1300
				
			
					72100
					73900
					71500
					799032","2019.02.22
					72000
					
				
				1400
				
			
					72900
					73500
					71800
					842080","2019.02.21
					73400
					
				
				100
				
			
					73700
					74400
					73200
					628266","2019.02.20
					73500
					
				0
			
					73500
					74400
					73000
					796959"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=38","2019.02.19
					73500
					
				
				800
				
			
					75700
					76500
					73300
					1735865","2019.02.18
					74300
					
				
				100
				
			
					74900
					76100
					74100
					1458663","2019.02.15
					74200
					
				
				2800
				
			
					71600
					76700
					69800
					3250755","2019.02.14
					71400
					
				
				900
				
			
					72200
					73000
					70900
					915736","2019.02.13
					72300
					
				
				200
				
			
					73100
					73500
					72100
					630400","2019.02.12
					72500
					
				
				1300
				
			
					74400
					74400
					72400
					728338","2019.02.11
					73800
					
				
				400
				
			
					73900
					74900
					73500
					1080132","2019.02.08
					73400
					
				
				200
				
			
					72900
					74800
					72800
					779175","2019.02.07
					73200
					
				
				900
				
			
					73600
					73800
					71800
					1012819","2019.02.01
					74100
					
				
				1300
				
			
					75100
					75700
					73400
					1030856"
"https://finance.naver.com/item/sise_day.nhn?code=215600&page=39","2019.01.31
					75400
					
				
				4300
				
			
					72400
					75800
					72000
					2869881","2019.01.30
					71100
					
				
				200
				
			
					71000
					71800
					70200
					576124","2019.01.29
					70900
					
				
				400
				
			
					71400
					72100
					70100
					633635","2019.01.28
					71300
					
				0
			
					71500
					73000
					70800
					1053259","2019.01.25
					71300
					
				
				500
				
			
					70800
					71500
					70000
					703751","2019.01.24
					70800
					
				
				1800
				
			
					68900
					70900
					68700
					901342","2019.01.23
					69000
					
				
				1100
				
			
					69600
					70200
					68600
					776394","2019.01.22
					70100
					
				
				300
				
			
					70200
					72200
					70000
					1031476","2019.01.21
					69800
					
				
				300
				
			
					70000
					70900
					68500
					868192","2019.01.18
					69500
					
				
				2400
				
			
					67800
					70000
					67200
					1172198"
